Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
Reinders - 26-5-10 50%RXN DDP FE MN - 50 LB BAG,26.00%,5.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$34.65 ,$2.67 ,,https://www.reinders.com/products/370-9680/,https://assetcloud01.roccommerce.net/files/_reinders/7/8/1/370-9680-label.pdf,"Urea, Diammonium Phosphate and Muriate of Potash",24,2,2,,
Reinders - 28-0-10 50%RXN 15%AmSul - 50 LB BAG,28.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$31.35 ,$2.24 ,,https://www.reinders.com/products/370-9470/,https://assetcloud01.roccommerce.net/files/_reinders/7/9/1/370-9470-label.pdf,"Urea, Muriate of Potash and Ammonium Sulfate",23.8,4.2,4.2,,
EC Grow - 30-0-10 50% RXN 5% FE - SGN 220 - 50 LB Bag,30.00%,0.00%,10.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,50,$33.88 ,$2.26 ,220,https://www.reinders.com/products/ec-grow-30-0-10-50-rxn-5-fe-sgn-220-50-lb-bag/,?,?,?,,,,
Andersons - 11-8-9 Contec DG Smart Phos Blend Fertilizer - 75 SGN - 40 LB Bag,11.00%,8.00%,9.00%,0.00%,2.80%,0.00%,0.20%,0.00%,0.20%,0.00%,0.00%,40,$72.80 ,$16.55 ,75,https://www.reinders.com/products/andersons-11-8-9-contec-dg-smart-phos-blend-fertilizer-75-sgn-40-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/10/3/3/cdg11wm4-label.pdf,"magnesium ammonium phosphate hexa-hydrate, methylene ureas, ammonium sulfate, potassium sulfate, ferrous sulfate, manganous sulfate. Humic Acid (derived from leonardite) 1.25%",0.42,0.3,0.3,2.5*,*Methylene Ureas
Andersons - 18-0-5 Contec DG Fertilizer 75%MUtech 7%MN - SGN 75 - 40 LB BAG,18.00%,0.00%,5.00%,0.00%,0.00%,6.85%,0.00%,0.00%,7.00%,0.00%,0.00%,40,$82.18 ,$11.41 ,75,https://www.reinders.com/products/andersons-18-0-5-contec-dg-fertilizer-75mutech-7mn-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDG1813WM4-A17%20-%20color%2011x17.pdf,"ammonium sulfate, potassium sulfate, methylene ureas and manganese sulfate",2 .02,4.5,4.5,6.75*,*Methylene Ureas
Andersons - 24-0-10 Contec Dispersing Granule Technology - 50 LB BAG,24.00%,0.00%,10.00%,0.00%,0.00%,6.15%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$66.50 ,$5.54 ,150,https://www.reinders.com/products/cdg2424w5-1/,https://pndata.andersonsinc.com/Files/Labels/CDG2424W5.1.pdf,"Methylene Ureas, ammonium sulfate, and potassium sulfate",1.86,2.4,2.4,6.81*,*methylene ureas and ureaform
Andersons - 22-0-10 Contec Dispersing Granule Technology - 40 LB BAG,22.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$93.66 ,$10.64 ,75,https://www.reinders.com/products/cdg221w4/,https://pndata.andersonsinc.com/Files/Labels/CDG221W4.pdf,,,,,,
Andersons - 0-0-12 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,0.00%,0.00%,12.00%,0.00%,24.00%,12.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$66.36 ,,75,https://www.reinders.com/products/andersons-0-0-12-contec-dispersing-granule-technology-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDGK12M4-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 7-14-14 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,7.00%,14.00%,14.00%,0.00%,2.00%,9.92%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$70.14 ,$25.05 ,75,https://www.reinders.com/products/andersons-7-14-14-contec-dispersing-granule-technology-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDG72WM4-A17%20-%20color%2011x17.pdf,,,,,,
Andersons - 0-0-25 Contec Dispersing Granule Technology - SGN 75 - 40 LB BAG,0.00%,0.00%,25.00%,0.00%,4.00%,13.70%,0.00%,0.00%,3.00%,0.00%,0.00%,40,$76.16 ,,75,https://www.reinders.com/products/andersons-0-0-25-contec-dispersing-granule-technology-sgn-75-40-lb-bag/,https://pndata.andersonsinc.com/Files/Labels/CDGK25M4.1_G18.pdf,,,,,,
